home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
herthabsc,augsburg,0,1,0,0.4,0.4,0.2,0.5,0,0.5,1.2,1,0.5,0.5,1.6,1.5,3,7,8,0.2,0,0.4,0.6,0,0.5,0.5,0.8,2,0.5,1,0.4,0.5,0,0,2,-0.6
nuernberg,bremen,0,1,0,0.6,0,0.4,0.5,0,0.5,1,1,1,1,1.8,1.5,3,6,9,0.2,0.8,0,0.2,0.5,0,0.5,2.2,1,1,1,2.4,1.5,3,9,12,0.6
leverkusen,fckoeln,0,0,1,0.6,0.2,0.2,0.5,0.5,0,1.2,0.6,0.5,0,2,2,3,7,10,0.4,0.2,0.2,0.6,0.5,0,0.5,1.4,2.8,2.5,4,0.8,1.5,0,4,4,-0.4
klautern,mainz,1,0,0,0,0.4,0.6,0,0.5,0.5,0.4,1.6,0.5,2,0.4,0.5,0,1,2,-0.6,0.4,0.2,0.4,0.5,0.5,0,1.4,2,1.5,1,1.4,2,0,1,7,0
hamburg,mgladbach,0,0,1,0,0.2,0.8,0,0.5,0.5,1.2,3.2,2.5,3,0.2,0.5,0,0,1,-0.8,0.6,0.2,0.2,0.5,0,0.5,1.4,0.6,0.5,0.5,2,1.5,3,6,10,0.4
freiburg,vfbstuttgart,0,0,1,0.2,0.2,0.6,0.5,0,0.5,1.8,3.2,2,1,0.8,1.5,0,3,4,-0.4,0.4,0.2,0.4,0,0.5,0.5,1.4,0.6,0.5,1,1.4,0.5,3,3,7,0
hoffenheim,wolfsburg,1,0,0,0.6,0,0.4,0.5,0,0.5,1.8,0.8,1,1,1.8,1.5,3,6,9,0.2,0.4,0,0.6,0.33,0,0.67,1.2,1.8,1.33,2.33,1.2,1,3,3,6,-0.2
mainz,dortmund,0,0,1,0.33,0.17,0.5,0.33,0,0.67,1.33,2.17,1.33,2.67,1.17,1,0,1,4,-0.17,0.33,0.17,0.5,0,0.33,0.67,1.17,1,0.33,1,1.17,0.33,0,1,4,-0.17
schalke,freiburg,1,0,0,0.5,0,0.5,0.67,0,0.33,1.83,1.67,2,1,1.5,2,0,3,9,0,0.17,0.17,0.67,0,0.33,0.67,1.67,3,1.67,4.67,0.67,0.33,0,3,3,-0.5
vfbstuttgart,hamburg,0,0,1,0.5,0.17,0.33,0.67,0,0.33,1.5,0.67,2,0.33,1.67,2,3,6,7,0.17,0,0.17,0.83,0,0,1,1,2.83,0.33,3.33,0.17,0,0,0,1,-0.83
augsburg,hannover,0,1,0,0,0.5,0.5,0,0.33,0.67,1,2,1,2.67,0.5,0.33,1,1,2,-0.5,0.5,0.33,0.17,0.5,0,0.5,1.33,1.33,1,2,1.83,1.5,3,4,8,0.33
bremen,herthabsc,1,0,0,0.67,0.17,0.17,1,0,0,2,1,3,1,2.17,3,1,7,10,0.5,0.33,0.5,0.17,0.33,0.67,0,1.33,1.17,1.67,1.33,1.5,1.67,1,7,9,0.17
