season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,away_win_0_proba,away_win_1_proba
2004,6,daegu_fc,jeonbuk_fc,0,0,1,0.4,0.2,0.4,1,0,0,2.2,1.6,4.5,1,1.4,3,0,4,7,0,0.4,0.4,0,0.5,0.5,0,1,0.2,1,0,1.6,2,3,7,8,0.4,0.6883519177,0.3116480823
2004,6,seongnam_fc,pohang_steelers,0,0,1,0.2,0.2,0.6,0.5,0.5,0,0.8,1.4,2,1.5,0.8,2,0,1,4,-0.4,0.75,0,0.25,1,0,0,1.25,1,1.5,0.5,2.25,3,0,6,9,0.5,0.5562282407,0.4437717593
2004,6,ulsan_hyundai,suwon_bluewings,0,0,1,0.4,0.6,0,0,1,0,1,0.6,0.5,0.5,1.8,1,3,5,9,0.4,0.2,0.4,0.2,0,1,0,1,1,1.5,1.5,1,1,3,4,5,0,0.6985876583,0.3014123417
2004,7,suwon_bluewings,busan_ipark,0,0,1,0.33,0.33,0.17,0.5,0,0.5,1.17,0.83,1,1,1.33,1.5,3,7,8,0.17,0.17,0.67,0.17,0.33,0.33,0.33,0.5,0.67,0.67,1,1.17,1.33,1,2,6,0,0.7504335641,0.2495664359
2004,7,incheon_united,fc_seoul,0,0,1,0.17,0.33,0.5,0.33,0.33,0.33,0.83,1.83,1,1,0.83,1.33,1,1,4,-0.33,0.17,0.67,0,0.5,0.5,0,0.5,0.33,1,0.5,1.17,2,1,5,7,0.17,0.6239622684,0.3760377316
2004,7,jeonbuk_fc,ulsan_hyundai,0,0,1,0.5,0.33,0,0.5,0.5,0,1.33,0.5,1.5,0.5,1.83,2,3,9,11,0.5,0.33,0.5,0.17,0.67,0.33,0,0.83,0.83,1.33,0.67,1.5,2.33,0,4,6,0.17,0.7518263587,0.2481736413
2004,8,ulsan_hyundai,pohang_steelers,0,0,1,0.43,0.43,0.14,0,0.67,0.33,1,0.86,0.33,1,1.71,0.67,3,6,8,0.29,0.71,0,0.14,1,0,0,1.29,0.86,1.67,0.67,2.14,3,3,6,12,0.57,0.5010410742,0.4989589258
2004,9,incheon_united,jeonnam_dragons,0,0,1,0.13,0.38,0.5,0.25,0.25,0.5,0.75,1.75,1,1.5,0.75,1,1,2,2,-0.38,0.25,0.5,0.13,0,1,0,1.25,0.75,1,1,1.25,1,3,5,6,0.13,0.5075490835,0.4924509165
2004,9,seongnam_fc,ulsan_hyundai,0,0,1,0.25,0.13,0.5,0.33,0.33,0.33,1,1.38,1.67,1.67,0.88,1.33,3,3,4,-0.25,0.38,0.38,0.25,0.75,0.25,0,0.88,0.88,1.5,0.75,1.5,2.5,0,3,7,0.13,0.6069576354,0.3930423646
2004,10,jeju_united,jeonbuk_fc,0,0,1,0,0.67,0.22,0,0.75,0.25,0.33,0.67,0.25,0.5,0.67,0.75,0,2,4,-0.22,0.33,0.44,0.11,0.5,0.5,0,1.11,0.67,1.25,0.5,1.44,2,1,2,8,0.22,0.6416528618,0.3583471382
