season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,home_win_0_proba,home_win_1_proba
2004,7,pohang_steelers,daegu_fc,1,0,0,0.67,0,0.17,0.5,0,0.5,1.17,0.83,1,1.5,2,1.5,3,6,12,0.5,0.33,0.17,0.5,0,0.33,0.67,2.17,1.83,0.67,2,1.17,0.33,0,3,7,-0.17,0.5111681738,0.4888318262
2004,8,jeonnam_dragons,daejeon,1,0,0,0.14,0.57,0.14,0.33,0.33,0.33,1,0.71,1.33,0.67,1,1.33,1,3,4,0,0.14,0.57,0.29,0,0.67,0.33,0.71,0.71,0.33,0.67,1,0.67,1,5,7,-0.14,0.5191233907,0.4808766093
2004,8,fc_seoul,suwon_bluewings,1,0,0,0.29,0.57,0,0,1,0,0.86,0.43,0.33,0.33,1.43,1,3,7,9,0.29,0.29,0.29,0.29,0.33,0.67,0,1.14,1,1.67,1,1.14,1.67,0,6,7,0,0.46678408,0.53321592
2004,9,suwon_bluewings,jeju_united,1,0,0,0.25,0.25,0.38,0.33,0,0.67,1,1,1,1.33,1,1,0,3,7,-0.13,0,0.75,0.13,0,1,0,0.25,0.38,0.33,0.33,0.75,1,1,3,5,-0.13,0.5332265772,0.4667734228
2004,10,sangju_sangmu,incheon_united,1,0,0,0.11,0.56,0.22,0.25,0.5,0.25,0.67,0.89,0.75,0.75,0.89,1.25,1,3,4,-0.11,0.11,0.33,0.56,0,0.5,0.5,0.67,1.78,0.5,2,0.67,0.5,0,1,2,-0.44,0.4545696704,0.5454303296
2004,11,daegu_fc,busan_ipark,1,0,0,0.2,0.2,0.5,0.5,0,0.5,1.6,1.6,3.25,2,0.8,1.5,1,1,1,-0.3,0.2,0.7,0.1,0.4,0.4,0.2,0.7,0.7,1,1,1.3,1.6,1,3,7,0.1,0.5888587022,0.4111412978
2004,11,jeonbuk_fc,jeonnam_dragons,1,0,0,0.4,0.4,0.1,0.25,0.5,0.25,1.3,0.6,1.25,1,1.6,1.25,3,5,8,0.3,0.3,0.5,0.1,0.25,0.75,0,1.4,0.8,1.25,0.75,1.4,1.5,1,7,9,0.2,0.5067497313,0.4932502687
2004,11,suwon_bluewings,sangju_sangmu,1,0,0,0.3,0.3,0.3,0.5,0,0.5,1.3,1.1,1.5,1.25,1.2,1.5,1,4,7,0,0.2,0.5,0.2,0,0.75,0.25,0.7,0.8,0.75,1.25,1.1,0.75,3,5,6,0,0.5918515259,0.4081484741
2004,13,ulsan_hyundai,fc_seoul,1,0,0,0.33,0.42,0.17,0,0.6,0.4,0.75,0.58,0.2,0.8,1.42,0.6,1,5,8,0.17,0.25,0.58,0.08,0.4,0.4,0.2,0.92,0.67,1.4,1,1.33,1.6,1,2,6,0.17,0.5503719481,0.4496280519
2004,13,suwon_bluewings,incheon_united,1,0,0,0.33,0.25,0.33,0.6,0,0.4,1.33,1.17,1.8,1.4,1.25,1.8,0,4,7,0,0.18,0.27,0.55,0,0.4,0.6,0.64,1.55,0.4,1.8,0.82,0.4,3,3,4,-0.36,0.5422926893,0.4577073107
