season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
1999,6,boavistapor,braga,1,0,0,0.0934790415,2.7896227275,-1.883452782,2.1307259987,-1.533602938,-1.257154185,-0.906095187,-2.328951909,0.0794099781,-2.13751312,0.6982431239,1.9986398846,-0.180024249,0.3103869726,0.5549226867,1.0091941789,0.0232121014,1.1159308797,-0.771524583,0.8330916168,-1.530107395,0.3013208213,-0.171532412,0.5561124303,0.8147648598,2.03164765,0.2714919942,0.4702513172,-0.472108441,-0.973608933,0.1913553818,0.4010941803
1999,6,amadora,campomaioren,1,0,0,0.0934790415,-2.22003797,1.3496887911,2.1307259987,-1.533602938,-1.257154185,0.7223345363,1.9562084818,3.0930958274,-1.06993199,-0.376534773,1.9986398846,-0.952906203,-0.474484855,-0.287280792,-0.635743352,-0.979156607,1.1159308797,0.3294097245,0.8330916168,-1.530107395,0.3013208213,0.6457028046,1.982247588,2.8245400108,1.159857624,-0.815461487,0.4702513172,-1.232343085,-1.372521229,-0.658755845,-0.709049351
1999,6,leiria,salgueiros,1,0,0,1.099925154,-0.550151071,-0.805738924,2.1307259987,-1.533602938,-1.257154185,-0.498987756,-2.328951909,-0.674011484,-2.13751312,1.0565024229,1.9986398846,1.3657396576,0.7028228864,0.8356571796,1.0091941789,0.0232121014,2.7551889636,-1.87245889,-1.333545868,4.2344908407,-1.748777166,1.4629380215,0.5561124303,0.8147648598,0.2880675981,0.6338098212,-0.28639834,-0.472108441,0.2231279562,0.474725791,0.9561659459
1999,7,amadora,ave,1,0,0,0.5967020978,-2.22003797,0.8108318623,2.1307259987,-1.533602938,-1.257154185,0.5187808209,1.1705957434,1.8424161999,-1.432909574,0.1608541755,1.9986398846,1.3657396576,0.7028228864,0.5549226867,-0.087430842,-1.129511913,0.5421905504,0.879876878,0.0964348718,0.3722100232,-0.395712495,-1.254369074,1.1978732513,-0.190122716,1.159857624,-1.12343164,0.2129904336,-1.232343085,-0.973608933,-0.658755845,-1.069845999
1999,7,coimbra,farense,1,0,0,-1.063933988,0.5352754138,0.8108318623,-1.95866302,2.3420817461,0.3638579804,-0.15294644,1.5514988893,-0.176753319,3.5633701127,-1.039314476,-1.588612444,1.3657396576,-0.082048941,-0.568015285,-0.992146484,-0.327616946,-0.769215916,0.879876878,-1.333545868,0.3722100232,0.9983541371,-0.58015002,1.1978732513,-0.190122716,1.7352390412,-0.507491333,-1.300308882,1.0483608465,1.020952549,-0.092015027,-0.625788586
1999,7,setubal,guimaraes,1,0,0,-1.063933988,1.9546792779,-0.105224917,-1.95866302,2.3420817461,0.3638579804,-0.845029073,1.1705957434,-0.674011484,0.7022526852,-0.734794072,-1.588612444,1.3657396576,0.3103869726,-0.568015285,-0.553496476,-1.129511913,-0.769215916,1.8156710392,-1.333545868,-1.530107395,2.351418809,-0.232825054,1.1978732513,-0.853348516,1.7352390412,-1.413285901,-1.799697656,-1.232343085,-0.574696637,-0.942126255,-1.541657
1999,8,madeira,coimbra,1,0,0,-1.919413184,1.3702188633,1.1880317125,-1.95866302,0.3753163837,2.0339917261,-1.089293531,0.5992410247,-1.17126965,0.7022526852,-1.755833074,-2.112074158,-0.180024249,-1.259356683,-1.410218763,-1.650121497,-0.528090688,0.2143389336,0.4945498706,0.0964348718,-1.530107395,0.9983541371,0.0123455116,1.2929489285,-0.190122716,-0.583722428,-0.561839008,-0.28639834,1.0483608465,1.020952549,0.1913553818,-0.542527821
1999,9,amadora,farense,1,0,0,0.5967020978,-1.134611485,0.1642035477,2.1307259987,-1.533602938,-1.257154185,0.0098965324,0.1707249856,1.2095421716,-1.603722555,0.3937227198,1.9986398846,-0.180024249,1.0952588001,0.8356571796,0.2689722898,-0.72856443,-1.097067533,1.5954841777,-1.333545868,-0.088957835,1.3263698151,-0.58015002,1.6970205565,-0.190122716,1.5957526371,-1.032852184,-1.421372827,-1.232343085,-0.574696637,-0.092015027,-1.20861394
1999,9,sporting,madeira,1,0,0,1.2508920708,0.9527471385,-1.883452782,1.108378744,-0.087451937,-1.257154185,1.2922849395,-1.305274705,0.8328314404,-1.603722555,1.5043265465,1.2288432474,1.3657396576,1.0952588001,1.6778606583,1.639753566,-1.329985655,0.9520050714,0.879876878,-1.333545868,1.3521917231,0.3013208213,-0.314548576,0.5085745917,-0.692566504,0.2880675981,-1.26835877,-1.043047998,1.0483608465,-0.17578434,-0.942126255,-1.20861394
1999,9,fcporto,salgueiros,1,0,0,1.2508920708,-1.134611485,-0.53631046,1.108378744,-1.533602938,-0.029114665,1.801169228,-0.710113539,0.8328314404,-1.06993199,1.0565024229,0.8439449289,-0.180024249,-0.082048941,0.8356571796,0.9543629278,-0.72856443,3.0010776762,-1.15685159,-1.333545868,2.7933412819,-0.723728172,0.1962234354,-0.085648391,-0.692566504,-0.583722428,-0.127057616,-0.66472317,-0.472108441,-0.973608933,-0.942126255,0.2068190623
